12,13
2,49
1,03
1,3
4,19
1,66
1,93
1,55
9,45
1,51
6,55
1,28
2,52
29,81
1,41
14,99
14,5
51,66
1,86
14,9
5,97
1,81
1,73
6,35
2,01
1,66
1,47
1,73
3,84
1,28
1,27
3,87
1,98
1,11
1,09
1,15
1,97
1
9,93
1,47
1,41
1,66
1,01
1,09
1,26
1,5
1,41
2,24
1,03
1,29
2,96
1,47
1
1,38
1,14
11,88
3,33
1,67
1,65
1,83
1,5
1,67
1,22
2,75
1
16,3
1794,17
1,63
1,92
15,33
1
1,07
1,14
1,77
2,05
2,01
2,27
6,33
12,46
2,24
1,73
7
1,39
4,17
5,64
5,14
2,88
1,24
1,34
2,66
2,02
23,46
1,4
1,68
2,55
2,95
1,21
14,74
1,46
4,71
1,75
4,72
9,68
4,84
1
2,29
1,53
39,2
1,44
2,35
1,45
46,07
1,71
1,95
4,67
12,01
26,83
3,08
1,29
3,43
1,05
1,5
1
1,68
3,89
3,41
1,49
1,17
2,28
23,23
2,42
1,17
1,44
1,41
1,69
3,54
1,08
1,02
1,74
9,32
1,77
4,77
5,25
1,74
3,57
2,65
1,48
1,2
1,76
1,16
1,19
1
56,61
1,22
21,3
1,54
2,28
2,35
6,32
2,35
1,55
1,37
3,22
2,66
3,55
11,32
22,03
1
1,1
1,45
1,33
1,31
108,19
9,48
3,88
6,08
1,91
6,89
3,35
1,31
1,23
1
14,36
2,4
1,74
2,51
5,78
1,44
1,23
2,87
2,01
2,83
49,03
1,03
2,68
1,04
2,37
1,74
1,11
1,63
1,18
1,55
1,04
3,59
3,14
3,63
2,88
1,11
4,63
1,04
1
1,18
4,03
1,92
29,04
2,25
7,68
51,07
1,07
1,21
1,38
1
3,69
20,22
1,5
1
1,21
1,53
1,1
1,4
1,31
1,55
3,5
2,68
2,53
2,5
1,8
1,29
1
1,1
3,41
1,26
1,56
2,96
1,24
1,16
51,09
4,91
3,57
47,09
1,15
1,5
2,03
1,19
1,15
34,51
1,55
1,24
1,87
1,51
2,41
2,64
1,1
3,33
1,11
1,06
1,99
1
1,55
1,1
1,3
3,75
1
1,26
3,79
1,97
5,85
2,38
1,91
3,77
1,24
1,35
1,19
3,59
1,37
3,35
1,39
2,42
4,51
1,88
1
2,12
2,86
1,09
9,85
7,07
1,31
46,26
4,59
1,43
7,1
1,16
1,55
3,86
3,89
1,01
16,2
3,5
1,04
1,57
1,3
3,19
1
1,33
3,68
1,37
2,57
12,53
78,28
2,46
2,49
1,41
1,32
1,25
3,4
2,19
1,13
1,86
1
